
Notes [1]:
"Notes"

"Annual figures are calculated as entries plus exits, weighting weekdays by 253, Saturdays by 52 and Sundays by 59."
"This weighting is based on the assumption that 7 Bank-holidays are represented by 7 Sundays"
"and grossing up to a 364 day year excluding Christmas Day. "
"This adjustment does not change from year to year depending on when the Bank Holidays are "
"but is used as an annual factor for comparing one year with another"

"The data is from files En11WEEK.xls etc."

"Columns D to I are counts for one typical day for the whole traffic day."
"Column J is the annual total in millions."

"Total exits for the system should equal total entries."
"They do not because of inaccuracies in the counts and because counts take place on different days:"
"also some counts include NR passengers."


"Transport Planning - Strategy & Commercial"

"March-2012"

2011 Entry & Exit [2]:
"COUNTS - 2011 - annual entries & exits"
"(C) Copyright, London Underground Limited, 2012"

,,"[ Weights",253,52,59,253,52,59,"]",,
"Counts by station",,,,,,,,,"Annual"
" ",,,"Entry","Entry","Entry","Exit","Exit","Exit","Entry + Exit"
"nlc","Station","Note","Weekday","Saturday","Sunday","Weekday","Saturday","Sunday","million",,
572,"Epping                             "," ",5270,3628,2390,4405,3579,2230,3.10
574,"Euston                             "," ",53204,40245,33274,54803,40620,31028,35.32
575,"Euston Square                      "," ",18929,6010,4145,19795,5874,3832,10.89
576,"Fairlop                            "," ",1582,864,484,1478,853,514,0.92
577,"Farringdon                         "," ",36492,6375,3251,34785,6043,2605,19.02
578,"Finchley Central                   "," ",9071,6462,3264,8677,5333,3356,5.49
579,"Finchley Road                      "," ",14799,9631,6880,13749,8856,6559,8.98
580,"Finsbury Park                      ","A",38555,36015,20860,34792,28551,19385,24.29
581,"Fulham Broadway                    "," ",15306,10491,6783,15126,10597,6217,9.56
582,"Gants Hill                         "," ",8990,5692,3823,8565,5553,3834,5.48
583,"Gloucester Road                    "," ",22323,16476,12603,21373,16053,11394,14.16
584,"Golders Green                      "," ",12242,9173,6945,11825,8350,6791,7.81
585,"Goldhawk Road                      "," ",2731,1498,891,2611,1308,917,1.60
586,"Goodge Street                      "," ",18104,8129,4677,18105,9142,4774,10.62
587,"Grange Hill                        "," ",902,405,226,770,348,215,0.49
588,"Great Portland Street              "," ",13175,3809,2705,12569,3282,2114,7.17
590,"Green Park                         "," ",48693,28229,18835,54351,34000,22149,31.72
589,"Greenford                          "," ",6477,4445,2651,6206,3955,2474,3.95
591,"Gunnersbury                        "," ",8319,3310,2004,6907,2779,1805,4.39
592,"Hainault                           "," ",4976,2855,1786,4720,2651,1775,2.95
593,"Hammersmith (Dis)                  "," ",46718,33264,21791,44372,31209,21308,28.94
773,"Hammersmith (H&C)                  "," ",15230,8757,6142,13701,8517,5239,8.89
594,"Hampstead                          "," ",6446,5221,3922,6545,5242,4252,4.31
595,"Hanger Lane                        "," ",5698,3554,2405,5124,3251,2180,3.36
596,"Harlesden                          "," ",3800,2137,1331,3731,2084,1301,2.28
597,"Harrow & Wealdstone                "," ",7494,4684,3026,6959,4209,2901,4.47
598,"Harrow-on-the-Hill                 "," ",13833,8918,5554,14543,8750,5492,8.75
779,"Hatton Cross                       "," ",4646,3419,2653,4381,3224,2433,2.93
780,"Heathrow Terminals 123             "," ",11261,12379,12053,9618,9945,9600,7.72
781,"Heathrow Terminal 4                "," ",3492,4047,4247,3012,3328,3047,2.46
783,"Heathrow Terminal 5                "," ",4698,4535,5479,4144,3810,3676,3.21
601,"Hendon Central                     "," ",11932,6889,4906,11065,5677,4286,7.01
602,"High Barnet                        "," ",5279,3611,1855,4930,3099,1699,3.14
605,"High Street Kensington             "," ",18689,12336,9326,19255,12941,8976,11.99
603,"Highbury & Islington               "," ",25120,21451,11357,24801,22198,11668,16.26
604,"Highgate                           "," ",8248,5524,3450,7729,4773,3373,4.98
606,"Hillingdon                         "," ",2418,1376,827,2188,1270,819,1.40
607,"Holborn                            "," ",51012,28625,16956,55164,31070,17194,31.98
608,"Holland Park                       "," ",5565,3608,2517,5164,3403,2404,3.37
609,"Holloway Road                      "," ",12946,9617,4869,12646,9792,4723,8.05
610,"Hornchurch                         "," ",3320,1715,844,3366,1822,879,1.98
611,"Hounslow Central                   "," ",6251,4184,3302,5960,4094,3213,3.90
612,"Hounslow East                      "," ",6437,5042,3818,6681,4740,3667,4.27
