
Notes [1]:
"Notes"

"Annual figures are calculated as entries plus exits, weighting weekdays by 253, Saturdays by 52 and Sundays by 59."
"This weighting is based on the assumption that 7 Bank-holidays are represented by 7 Sundays"
"and grossing up to a 364 day year excluding Christmas Day. "
"This adjustment does not change from year to year depending on when the Bank Holidays are "
"but is used as an annual factor for comparing one year with another"

"The data is from files En11WEEK.xls etc."

"Columns D to I are counts for one typical day for the whole traffic day."
"Column J is the annual total in millions."

"Total exits for the system should equal total entries."
"They do not because of inaccuracies in the counts and because counts take place on different days:"
"also some counts include NR passengers."


"Transport Planning - Strategy & Commercial"

"March-2012"

2011 Entry & Exit [2]:
"COUNTS - 2011 - annual entries & exits"
"(C) Copyright, London Underground Limited, 2012"

,,"[ Weights",253,52,59,253,52,59,"]",,
"Counts by station",,,,,,,,,"Annual"
" ",,,"Entry","Entry","Entry","Exit","Exit","Exit","Entry + Exit"
"nlc","Station","Note","Weekday","Saturday","Sunday","Weekday","Saturday","Sunday","million",,
"Bethnal Green",0,,9386,,"Bethnal Green",0,,4251,,"Belsize Park",0,0,,,,,6068,4104,6068,4104,6068,4104,0,0
"Blackfriars",0,,6577,,"Blackfriars",0,,4655,,"Bermondsey",2725,1947,2725,1947,2725,1947,3211,2069,2725,1947,2725,1947,0,0
"Blackhorse Road",0,,4774,,"Blackhorse Road",0,,3299,,"Bethnal Green",9386,4251,9386,4251,9386,4251,10569,5813,9386,4251,9386,4251,0,0
"Bond Street",0,,31326,,"Bond Street",0,,13676,,"Blackfriars",6577,4655,6577,4655,6577,4655,7825,5461,6577,4655,6577,4655,0,0
"Borough",0,,2748,,"Borough",0,,2081,,"Blackhorse Road",4774,3299,4774,3299,4774,3299,5664,3507,4774,3299,4774,3299,0,0
"Boston Manor",0,,1490,,"Boston Manor",0,,938,,"Bond Street",31326,13676,31326,13676,31326,13676,32048,14178,31326,13676,31326,13676,0,0
"Bounds Green",0,,3836,,"Bounds Green",0,,2218,,"Borough",2748,2081,2748,2081,2748,2081,3062,1985,2748,2081,2748,2081,0,0
"Brent Cross",0,,322,,"Brent Cross",0,,266,,"Boston Manor",1490,938,1490,938,1490,938,1704,952,1490,938,1490,938,0,0
"Brixton",0,,17011,,"Brixton",0,,13884,,"Bounds Green",3836,2218,3836,2218,3836,2218,5597,2872,3836,2218,3836,2218,0,0
"Bromley-by-Bow",0,,2184,,"Bromley-by-Bow",0,,1390,,"Bow Road",0,0,,,,,3828,2479,3828,2479,3828,2479,0,0
"Burnt Oak",0,,1595,,"Burnt Oak",0,,754,,"Brent Cross",322,266,322,266,322,266,466,308,322,266,322,266,0,0
"Caledonian Road",0,,4008,,"Caledonian Road",0,,2665,,"Brixton",17011,13884,17011,13884,17011,13884,16738,13937,17011,13884,17011,13884,0,0
"Canada Water",0,,5127,,"Canada Water",0,,3704,,"Bromley-by-Bow",2184,1390,2184,1390,2184,1390,2474,1621,2184,1390,2184,1390,0,0
"Canary Wharf",0,,6641,,"Canary Wharf",0,,7392,,"Buckhurst Hill",0,0,,,,,1568,456,1568,456,1568,456,0,0
"Canning Town",0,,3061,,"Canning Town",0,,2462,,"Burnt Oak",1595,754,1595,754,1595,754,1609,862,1595,754,1595,754,0,0
"Cannon Street",0,,0,,"Cannon Street",0,,2069,,"Caledonian Road",4008,2665,4008,2665,4008,2665,4390,2754,4008,2665,4008,2665,0,0
"Canons Park",0,,769,,"Canons Park",0,,449,,"Camden Town",0,0,,,,,26675,30114,26675,30114,26675,30114,0,0
"Chalk Farm",0,,5380,,"Chalk Farm",0,,3057,,"Canada Water",5127,3704,5127,3704,5127,3704,5618,3675,5127,3704,5127,3704,0,0
"Chancery Lane",0,,4393,,"Chancery Lane",0,,0,,"Canary Wharf",6641,7392,6641,7392,6641,7392,7357,7595,6641,7392,6641,7392,0,0
"Charing Cross",0,,26942,,"Charing Cross",0,,14636,,"Canning Town",3061,2462,3061,2462,3061,2462,3401,2489,3061,2462,3061,2462,0,0
"Chesham",0,,358,,"Chesham",0,,176,,"Cannon Street",0,2069,0,2069,0,2069,0,2324,0,2069,0,2069,0,0
"Chigwell",0,,91,,"Chigwell",0,,35,,"Canons Park",769,449,769,449,769,449,868,478,769,449,769,449,0,0
"Clapham Common",0,,8252,,"Clapham Common",0,,5896,,"Chalfont & Latimer",0,0,,,,,994,493,994,493,994,493,0,0
"Clapham North",0,,4521,,"Clapham North",0,,3338,,"Chalk Farm",5380,3057,5380,3057,5380,3057,9314,7926,5380,3057,5380,3057,0,0
"Clapham South",0,,4561,,"Clapham South",0,,3452,,"Chancery Lane",4393,0,4393,0,4393,0,4360,0,4393,0,4393,0,0,0
"Cockfosters",0,,1867,,"Cockfosters",0,,1215,,"Charing Cross",26942,14636,26942,14636,26942,14636,31208,18132,26942,14636,26942,14636,0,0
"Colindale",0,,1495,,"Colindale",0,,1157,,"Chesham",358,176,358,176,358,176,520,172,358,176,358,176,0,0
"Covent Garden",0,,40371,,"Covent Garden",0,,20434,,"Chigwell",91,35,91,35,91,35,113,39,91,35,91,35,0,0
"Croxley",0,,244,,"Croxley",0,,104,,"Chiswick Park",0,0,,,,,2437,1129,2437,1129,2437,1129,0,0
"Dagenham East",0,,50,,"Dagenham East",0,,117,,"Chorleywood",0,0,,,,,514,365,514,365,514,365,0,0
"Dagenham Heathway",0,,40,,"Dagenham Heathway",0,,13,,"Clapham Common",8252,5896,8252,5896,8252,5896,8055,5416,8252,5896,8252,5896,0,0
"Debden",0,,367,,"Debden",0,,59,,"Clapham North",4521,3338,4521,3338,4521,3338,5373,3353,4521,3338,4521,3338,0,0
"Dollis Hill",0,,2830,,"Dollis Hill",0,,2096,,"Clapham South",4561,3452,4561,3452,4561,3452,5817,3664,4561,3452,4561,3452,0,0
"Ealing Common",0,,2500,,"Ealing Common",0,,1629,,"Cockfosters",1867,1215,1867,1215,1867,1215,2027,1213,1867,1215,1867,1215,0,0
"Earl's Court",0,,44079,,"Earl's Court",0,,33390,,"Colindale",1495,1157,1495,1157,1495,1157,2024,1519,1495,1157,1495,1157,0,0
"East Ham",0,,8316,,"East Ham",0,,4786,,"Colliers Wood",0,0,,,,,4220,2532,4220,2532,4220,2532,0,0
"East Putney",0,,3195,,"East Putney",0,,1216,,"Covent Garden",40371,20434,40371,20434,40371,20434,29919,16507,40371,20434,40371,20434,0,0
"Edgware",0,,2807,,"Edgware",0,,1441,,"Croxley",244,104,244,104,244,104,299,135,244,104,244,104,0,0
"Edgware Road (Bak)",0,,3327,,"Edgware Road (Bak)",0,,1970,,"Dagenham East",50,117,50,117,50,117,90,176,50,117,50,117,0,0
"Edgware Road (Cir)",0,,7799,,"Edgware Road (Cir)",0,,4806,,"Dagenham Heathway",40,13,40,13,40,13,41,14,40,13,40,13,0,0
"Elephant & Castle",0,,14938,,"Elephant & Castle",0,,10769,,"Debden",367,59,367,59,367,59,442,60,367,59,367,59,0,0
"Elm Park",0,,130,,"Elm Park",0,,7,,"Dollis Hill",2830,2096,2830,2096,2830,2096,3660,2463,2830,2096,2830,2096,0,0
"Embankment",0,,28174,,"Embankment",0,,19879,,"Ealing Broadway",0,0,,,,,12079,7621,12079,7621,12079,7621,0,0
"Epping",0,,411,,"Epping",0,,46,,"Ealing Common",2500,1629,2500,1629,2500,1629,2790,1597,2500,1629,2500,1629,0,0
"Euston",0,,24974,,"Euston",0,,18045,,"Earl's Court",44079,33390,44079,33390,44079,33390,43062,33823,44079,33390,44079,33390,0,0
"Euston Square",0,,7005,,"Euston Square",0,,4469,,"East Acton",0,0,,,,,3146,2168,3146,2168,3146,2168,0,0
"Fairlop",0,,226,,"Fairlop",0,,110,,"East Finchley",0,0,,,,,4055,2571,4055,2571,4055,2571,0,0
"Farringdon",0,,6789,,"Farringdon",0,,2472,,"East Ham",8316,4786,8316,4786,8316,4786,8824,4435,8316,4786,8316,4786,0,0
"Finchley Road",0,,10109,,"Finchley Road",0,,7349,,"East Putney",3195,1216,3195,1216,3195,1216,3569,1251,3195,1216,3195,1216,0,0
"Fulham Broadway",0,,8152,,"Fulham Broadway",0,,7648,,"Eastcote",0,0,,,,,2285,731,2285,731,2285,731,0,0
"Gants Hill",0,,2105,,"Gants Hill",0,,1155,,"Edgware",2807,1441,2807,1441,2807,1441,2865,1284,2807,1441,2807,1441,0,0
"Gloucester Road",0,,18957,,"Gloucester Road",0,,13698,,"Edgware Road (Bak)",3327,1970,3327,1970,3327,1970,3414,2045,3327,1970,3327,1970,0,0
"Golders Green",0,,6175,,"Golders Green",0,,4638,,"Edgware Road (Cir)",7799,4806,7799,4806,7799,4806,7694,4758,7799,4806,7799,4806,0,0
"Goodge Street",0,,6942,,"Goodge Street",0,,3350,,"Elephant & Castle",14938,10769,14938,10769,14938,10769,15849,11103,14938,10769,14938,10769,0,0
"Grange Hill",0,,94,,"Grange Hill",0,,48,,"Elm Park",130,7,130,7,130,7,320,4,130,7,130,7,0,0
"Great Portland Street",0,,4102,,"Great Portland Street",0,,2529,,"Embankment",28174,19879,28174,19879,28174,19879,26571,18402,28174,19879,28174,19879,0,0
"Green Park",0,,22322,,"Green Park",0,,12910,,"Epping",411,46,411,46,411,46,832,81,411,46,411,46,0,0
"Greenford",0,,1296,,"Greenford",0,,620,,"Euston",24974,18045,24974,18045,24974,18045,25100,18372,24974,18045,24974,18045,0,0
"Hainault",0,,842,,"Hainault",0,,427,,"Euston Square",7005,4469,7005,4469,7005,4469,6069,4205,7005,4469,7005,4469,0,0
"Hammersmith (Dis)",0,,26290,,"Hammersmith (Dis)",0,,14682,,"Fairlop",226,110,226,110,226,110,246,103,226,110,226,110,0,0
"Hammersmith (H&C)",0,,8862,,"Hammersmith (H&C)",0,,4993,,"Farringdon",6789,2472,6789,2472,6789,2472,5720,3235,6789,2472,6789,2472,0,0
"Hampstead",0,,5410,,"Hampstead",0,,4615,,"Finchley Central",0,0,,,,,4927,2747,4927,2747,4927,2747,0,0
"Hanger Lane",0,,1036,,"Hanger Lane",0,,636,,"Finchley Road",10109,7349,10109,7349,10109,7349,10482,7712,10109,7349,10109,7349,0,0
"Harrow-on-the-Hill",0,,9191,,"Harrow-on-the-Hill",0,,4389,,"Finsbury Park",0,0,,,,,25225,16107,25225,16107,25225,16107,0,0
"Hatton Cross",0,,1976,,"Hatton Cross",0,,1327,,"Fulham Broadway",8152,7648,8152,7648,8152,7648,8011,5631,8152,7648,8152,7648,0,0
"Heathrow Terminal 4",0,,1884,,"Heathrow Terminal 4",0,,1989,,"Gants Hill",2105,1155,2105,1155,2105,1155,2152,1165,2105,1155,2105,1155,0,0
"Heathrow Terminals 123","Aut-99",,11519,,"Heathrow Terminals 123","Aut-99",,14337,,"Gloucester Road",18957,13698,18957,13698,18957,13698,18166,13794,18957,13698,18957,13698,0,0
"Hendon Central",0,,1881,,"Hendon Central",0,,2145,,"Golders Green",6175,4638,6175,4638,6175,4638,6828,4866,6175,4638,6175,4638,0,0
"High Street Kensington",0,,23062,,"High Street Kensington",0,,12039,,"Goldhawk Road",0,0,,,,,2478,1630,2478,1630,2478,1630,0,0
"Highbury & Islington",0,,10773,,"Highbury & Islington",0,,6530,,"Goodge Street",6942,3350,6942,3350,6942,3350,6881,3348,6942,3350,6942,3350,0,0
"Hillingdon",0,,1101,,"Hillingdon",0,,490,,"Grange Hill",94,48,94,48,94,48,94,49,94,48,94,48,0,0
"Holborn",0,,17679,,"Holborn",0,,9145,,"Great Portland Street",4102,2529,4102,2529,4102,2529,4404,3029,4102,2529,4102,2529,0,0
"Holland Park",0,,2864,,"Holland Park",0,,2039,,"Green Park",22322,12910,22322,12910,22322,12910,18360,11227,22322,12910,22322,12910,0,0
"Hornchurch",0,,63,,"Hornchurch",0,,14,,"Greenford",1296,620,1296,620,1296,620,1682,816,1296,620,1296,620,0,0
"Hounslow Central",0,,1556,,"Hounslow Central",0,,906,,"Gunnersbury",0,0,,,,,2097,1077,2097,1077,2097,1077,0,0
"Hyde Park Corner",0,,5847,,"Hyde Park Corner",0,,4903,,"Hainault",842,427,842,427,842,427,969,453,842,427,842,427,0,0
"Ickenham",0,,723,,"Ickenham",0,,355,,"Hammersmith (Dis)",26290,14682,26290,14682,26290,14682,28525,15602,26290,14682,26290,14682,0,0
"Kennington",0,,3960,,"Kennington",0,,2670,,"Hammersmith (H&C)",8862,4993,8862,4993,8862,4993,9933,5556,8862,4993,8862,4993,0,0
"Kentish Town",0,,5336,,"Kentish Town",0,,3025,,"Hampstead",5410,4615,5410,4615,5410,4615,5312,4248,5410,4615,5410,4615,0,0
"Kilburn",0,,8639,,"Kilburn",0,,5974,,"Hanger Lane",1036,636,1036,636,1036,636,1240,651,1036,636,1036,636,0,0
"Kilburn Park",0,,3659,,"Kilburn Park",0,,2636,,"Harlesden",0,0,,,,,1819,1359,1819,1359,1819,1359,0,0
"King's Cross St. Pancras","Nov-99",,101752,,"King's Cross St. Pancras",0,,72107,,"Harrow & Wealdstone",0,0,,,,,2861,1753,2861,1753,2861,1753,0,0
"Kingsbury",0,,1918,,"Kingsbury",0,,1204,,"Harrow-on-the-Hill",9191,4389,9191,4389,9191,4389,9399,4453,9191,4389,9191,4389,0,0
"Knightsbridge",0,,42373,,"Knightsbridge",0,,10355,,"Hatton Cross",1976,1327,1976,1327,1976,1327,2287,1313,1976,1327,1976,1327,0,0
"Ladbroke Grove",0,,8677,,"Ladbroke Grove",0,,1429,,"Heathrow Terminal 4",1884,1989,1884,1989,1884,1989,1889,2446,1884,1989,1884,1989,0,0
"Lambeth North",0,,2710,,"Lambeth North",0,,1906,,"Heathrow Terminals 123",11519,14337,11519,14337,11519,14337,15611,13701,11519,14337,11519,14337,0,0
"Lancaster Gate",0,,5263,,"Lancaster Gate",0,,5123,,"Hendon Central",1881,2145,1881,2145,1881,2145,2336,2199,1881,2145,1881,2145,0,0
"Latimer Road",0,,954,,"Latimer Road",0,,1033,,"High Barnet",0,0,,,,,2103,1171,2103,1171,2103,1171,0,0
"Leicester Square",0,,80635,,"Leicester Square",0,,39385,,"High Street Kensington",23062,12039,23062,12039,23062,12039,21637,12099,23062,12039,23062,12039,0,0
"Leyton",0,,6712,,"Leyton",0,,3427,,"Highbury & Islington",10773,6530,10773,6530,10773,6530,10342,6066,10773,6530,10773,6530,0,0
"Leytonstone",0,,5168,,"Leytonstone",0,,2650,,"Highgate",0,0,,,,,4140,2270,4140,2270,4140,2270,0,0
"Liverpool Street",0,,36669,,"Liverpool Street",0,,26156,,"Hillingdon",1101,490,1101,490,1101,490,1170,501,1101,490,1101,490,0,0
"London Bridge",0,,25928,,"London Bridge",0,,15529,,"Holborn",17679,9145,17679,9145,17679,9145,16149,9067,17679,9145,17679,9145,0,0
"Manor House",0,,8598,,"Manor House",0,,5053,,"Holland Park",2864,2039,2864,2039,2864,2039,3028,2167,2864,2039,2864,2039,0,0
"Mansion House",0,,2978,,"Mansion House",0,,1260,,"Holloway Road",0,0,,,,,5247,2922,5247,2922,5247,2922,0,0
"Marble Arch",0,,17458,,"Marble Arch",0,,11671,,"Hornchurch",63,14,63,14,63,14,54,14,63,14,63,14,0,0
"Marylebone",0,,8542,,"Marylebone",0,,4568,,"Hounslow Central",1556,906,1556,906,1556,906,1763,1080,1556,906,1556,906,0,0
"Mile End",0,,8336,,"Mile End",0,,6565,,"Hounslow East",0,0,,,,,3806,1955,3806,1955,3806,1955,0,0
"Monument",0,,5609,,"Monument",0,,4258,,"Hounslow West",0,0,,,,,3465,2660,3465,2660,3465,2660,0,0
"Moor Park",0,,411,,"Moor Park",0,,293,,"Hyde Park Corner",5847,4903,5847,4903,5847,4903,5740,4494,5847,4903,5847,4903,0,0
"Moorgate",0,,5184,,"Moorgate",0,,2248,,"Ickenham",723,355,723,355,723,355,779,266,723,355,723,355,0,0
"Morden",0,,4262,,"Morden",0,,2974,,"Kennington",3960,2670,3960,2670,3960,2670,4255,2612,3960,2670,3960,2670,0,0
"Mornington Crescent",0,,2300,,"Mornington Crescent",0,,1610,,"Kensal Green",0,0,,,,,2793,1711,2793,1711,2793,1711,0,0
"Newbury Park",0,,1708,,"Newbury Park",0,,893,,"Kensington (Olympia)",0,0,,,,,1942,1188,1942,1188,1942,1188,0,0
"North Acton",0,,1801,,"North Acton",0,,1278,,"Kentish Town",5336,3025,5336,3025,5336,3025,6559,3890,5336,3025,5336,3025,0,0
"North Ealing",0,,718,,"North Ealing",0,,440,,"Kenton",0,0,,,,,1011,541,1011,541,1011,541,0,0
"North Greenwich",0,,23709,,"North Greenwich",0,,20182,,"Kew Gardens",0,0,,,,,5347,4440,5347,4440,5347,4440,0,0
"North Harrow",0,,854,,"North Harrow",0,,466,,"Kilburn",8639,5974,8639,5974,8639,5974,9171,5948,8639,5974,8639,5974,0,0
"Northfields",0,,2650,,"Northfields",0,,1398,,"Kilburn Park",3659,2636,3659,2636,3659,2636,4201,2739,3659,2636,3659,2636,0,0
"Northolt",0,,1765,,"Northolt",0,,1064,,"King's Cross St. Pancras",101752,72107,101752,72107,101752,72107,99473,73282,101752,72107,101752,73282,0,1175
"Northwick Park",0,,1379,,"Northwick Park",0,,562,,"Kingsbury",1918,1204,1918,1204,1918,1204,2081,1218,1918,1204,1918,1204,0,0
"Northwood",0,,1175,,"Northwood",0,,599,,"Knightsbridge",42373,10355,42373,10355,42373,10355,42712,10246,42373,10355,42373,10355,0,0
"Northwood Hills",0,,696,,"Northwood Hills",0,,353,,"Ladbroke Grove",8677,1429,8677,1429,8677,1429,9855,1817,8677,1429,8677,1429,0,0
"Notting Hill Gate",0,,29458,,"Notting Hill Gate",0,,14081,,"Lambeth North",2710,1906,2710,1906,2710,1906,3119,2007,2710,1906,2710,1906,0,0
"Old Street",0,,9195,,"Old Street",0,,5181,,"Lancaster Gate",5263,5123,5263,5123,5263,5123,5243,5544,5263,5123,5263,5123,0,0
"Oval",0,,4982,,"Oval",0,,4122,,"Latimer Road",954,1033,954,1033,954,1033,991,1043,954,1033,954,1033,0,0
"Oxford Circus",0,,90860,,"Oxford Circus",0,,40414,,"Leicester Square",80635,39385,80635,39385,80635,39385,71895,37151,80635,39385,80635,39385,0,0
"Paddington",0,,35015,,"Paddington",0,,21155,,"Leyton",6712,3427,6712,3427,6712,3427,7356,3208,6712,3427,6712,3427,0,0
"Park Royal",0,,1534,,"Park Royal",0,,913,,"Leytonstone",5168,2650,5168,2650,5168,2650,5935,2745,5168,2650,5168,2650,0,0
"Perivale",0,,909,,"Perivale",0,,642,,"Liverpool Street",36669,26156,36669,26156,36669,26156,35110,22501,36669,26156,36669,26156,0,0
"Piccadilly Circus",0,,73005,,"Piccadilly Circus",0,,37085,,"London Bridge",25928,15529,25928,15529,25928,15529,31033,16806,25928,15529,25928,15529,0,0
"Pimlico",0,,6785,,"Pimlico",0,,7061,,"Loughton",0,0,,,,,1344,512,1344,512,1344,512,0,0
"Plaistow",0,,4944,,"Plaistow",0,,2225,,"Maida Vale",0,0,,,,,3785,2586,3785,2586,3785,2586,0,0
"Preston Road",0,,1628,,"Preston Road",0,,1061,,"Manor House",8598,5053,8598,5053,8598,5053,9903,5213,8598,5053,8598,5053,0,0
"Queensbury",0,,1781,,"Queensbury",0,,1003,,"Mansion House",2978,1260,2978,1260,2978,1260,3009,1245,2978,1260,2978,1260,0,0
"Queensway",0,,9619,,"Queensway",0,,9651,,"Marble Arch",17458,11671,17458,11671,17458,11671,18148,13496,17458,11671,17458,11671,0,0
"Ravenscourt Park",0,,1668,,"Ravenscourt Park",0,,1381,,"Marylebone",8542,4568,8542,4568,8542,4568,8187,4185,8542,4568,8542,4568,0,0
"Rayners Lane",0,,2877,,"Rayners Lane",0,,1354,,"Mile End",8336,6565,8336,6565,8336,6565,9217,6742,8336,6565,8336,6565,0,0
"Redbridge",0,,1557,,"Redbridge",0,,894,,"Mill Hill East",0,0,,,,,592,418,592,418,592,418,0,0
"Regent's Park",0,,2856,,"Regent's Park",0,,2060,,"Monument",5609,4258,5609,4258,5609,4258,6220,4456,5609,4258,5609,4258,0,0
"Rotherhithe",0,,1644,,"Rotherhithe",0,,1288,,"Moor Park",411,293,411,293,411,293,427,262,411,293,411,293,0,0
"Royal Oak",0,,1530,,"Royal Oak",0,,513,,"Moorgate",5184,2248,5184,2248,5184,2248,4769,2070,5184,2248,5184,2248,0,0
"Ruislip",0,,1182,,"Ruislip",0,,501,,"Morden",4262,2974,4262,2974,4262,2974,4646,2647,4262,2974,4262,2974,0,0
"Ruislip Gardens",0,,376,,"Ruislip Gardens",0,,168,,"Mornington Crescent",2300,1610,2300,1610,2300,1610,14160,13785,2300,1610,2300,1610,0,0
"Ruislip Manor",0,,980,,"Ruislip Manor",0,,459,,"Neasden",0,0,,,,,2912,2255,2912,2255,2912,2255,0,0
"Russell Square",0,,16860,,"Russell Square",0,,12131,,"New Cross",0,0,,,,,963,1234,963,1234,963,1234,0,0
"Seven Sisters",0,,12326,,"Seven Sisters",0,,9995,,"New Cross Gate",0,0,,,,,1323,1134,1323,1134,1323,1134,0,0
"Shadwell",0,,1627,,"Shadwell",0,,1164,,"Newbury Park",1708,893,1708,893,1708,893,1855,950,1708,893,1708,893,0,0
"Shepherd's Bush (Cen)",0,,11326,,"Shepherd's Bush (Cen)",0,,6733,,"North Acton",1801,1278,1801,1278,1801,1278,2012,1007,1801,1278,1801,1278,0,0
"Shepherd's Bush (H&C)",0,,5304,,"Shepherd's Bush (H&C)",0,,1528,,"North Ealing",718,440,718,440,718,440,850,441,718,440,718,440,0,0
"Sloane Square",0,,22531,,"Sloane Square",0,,9988,,"North Greenwich",23709,20182,23709,20182,23709,20182,19907,17480,23709,20182,23709,20182,0,0
"South Ealing",0,,3119,,"South Ealing",0,,2211,,"North Harrow",854,466,854,466,854,466,1077,490,854,466,854,466,0,0
"South Harrow",0,,1657,,"South Harrow",0,,953,,"North Wembley",0,0,,,,,1153,659,1153,659,1153,659,0,0
"South Kensington",0,,29941,,"South Kensington",0,,21209,,"Northfields",2650,1398,2650,1398,2650,1398,3150,1297,2650,1398,2650,1398,0,0
"South Ruislip",0,,777,,"South Ruislip",0,,453,,"Northolt",1765,1064,1765,1064,1765,1064,2187,1119,1765,1064,1765,1064,0,0
"Southwark",0,,1983,,"Southwark",0,,1298,,"Northwick Park",1379,562,1379,562,1379,562,1661,682,1379,562,1379,562,0,0
"St. James's Park",0,,6744,,"St. James's Park",0,,6276,,"Northwood",1175,599,1175,599,1175,599,1376,645,1175,599,1175,599,0,0
"St. John's Wood",0,,1910,,"St. John's Wood",0,,2329,,"Northwood Hills",696,353,696,353,696,353,888,424,696,353,696,353,0,0
"St. Paul's",0,,7632,,"St. Paul's",0,,5287,,"Notting Hill Gate",29458,14081,29458,14081,29458,14081,25819,12634,29458,14081,29458,14081,0,0
"Stamford Brook",0,,1404,,"Stamford Brook",0,,900,,"Oakwood",0,0,,,,,2679,1393,2679,1393,2679,1393,0,0
"Stanmore",0,,1934,,"Stanmore",0,,1111,,"Old Street",9195,5181,9195,5181,9195,5181,7997,5333,9195,5181,9195,5181,0,0
"Stepney Green",0,,2632,,"Stepney Green",0,,2031,,"Osterley",0,0,,,,,2093,1324,2093,1324,2093,1324,0,0
"Stockwell",0,,10710,,"Stockwell",0,,6529,,"Oval",4982,4122,4982,4122,4982,4122,6481,4518,4982,4122,4982,4122,0,0
"Stratford",0,,13403,,"Stratford",0,,8368,,"Oxford Circus",90860,40414,90860,40414,90860,40414,70701,34959,90860,40414,90860,40414,0,0
"Sudbury Hill",0,,1462,,"Sudbury Hill",0,,863,,"Paddington",35015,21155,35015,21155,35015,21155,35247,23820,35015,21155,35015,21155,0,0
"Surrey Quays",0,,1824,,"Surrey Quays",0,,1618,,"Park Royal",1534,913,1534,913,1534,913,1426,899,1534,913,1534,913,0,0
"Swiss Cottage",0,,6235,,"Swiss Cottage",0,,4147,,"Parsons Green",0,0,,,,,5011,2567,5011,2567,5011,2567,0,0
"Temple",0,,4618,,"Temple",0,,0,,"Perivale",909,642,909,642,909,642,1036,649,909,642,909,642,0,0
"Theydon Bois",0,,43,,"Theydon Bois",0,,21,,"Piccadilly Circus",73005,37085,73005,37085,73005,37085,65419,37801,73005,37085,73005,37085,0,0
"Tooting Bec",0,,5822,,"Tooting Bec",0,,4105,,"Pimlico",6785,7061,6785,7061,6785,7061,6528,6135,6785,7061,6785,7061,0,0
"Tooting Broadway",0,,11771,,"Tooting Broadway",0,,7425,,"Pinner",0,0,,,,,1793,724,1793,724,1793,724,0,0
"Tottenham Court Road",0,,51150,,"Tottenham Court Road",0,,21239,,"Plaistow",4944,2225,4944,2225,4944,2225,6119,2832,4944,2225,4944,2225,0,0
"Tottenham Hale",0,,3673,,"Tottenham Hale",0,,2554,,"Preston Road",1628,1061,1628,1061,1628,1061,2026,1222,1628,1061,1628,1061,0,0
"Tower Hill",0,,29658,,"Tower Hill",0,,21289,,"Putney Bridge",0,0,,,,,6105,3493,6105,3493,6105,3493,0,0
"Turnham Green",0,,3788,,"Turnham Green",0,,392,,"Queen's Park",0,0,,,,,6394,4887,6394,4887,6394,4887,0,0
"Turnpike Lane",0,,8918,,"Turnpike Lane",0,,6311,,"Queensbury",1781,1003,1781,1003,1781,1003,1818,1049,1781,1003,1781,1003,0,0
"Upminster Bridge",0,,0,,"Upminster Bridge",0,,0,,"Queensway",9619,9651,9619,9651,9619,9651,8920,8715,9619,9651,9619,9651,0,0
"Upney",0,,264,,"Upney",0,,17,,"Ravenscourt Park",1668,1381,1668,1381,1668,1381,1829,1334,1668,1381,1668,1381,0,0
"Upton Park",0,,7559,,"Upton Park",0,,3773,,"Rayners Lane",2877,1354,2877,1354,2877,1354,3076,1449,2877,1354,2877,1354,0,0
"Uxbridge",0,,4567,,"Uxbridge",0,,2038,,"Redbridge",1557,894,1557,894,1557,894,1671,905,1557,894,1557,894,0,0
"Vauxhall",0,,8400,,"Vauxhall",0,,7560,,"Regent's Park",2856,2060,2856,2060,2856,2060,2319,1420,2856,2060,2856,2060,0,0
"Victoria",0,,90021,,"Victoria",0,,59845,,"Richmond",0,0,,,,,6854,4217,6854,4217,6854,4217,0,0
"Walthamstow Central",0,,10433,,"Walthamstow Central",0,,6473,,"Rickmansworth",0,0,,,,,1193,660,1193,660,1193,660,0,0
"Wanstead",0,,1239,,"Wanstead",0,,711,,"Roding Valley",0,0,,,,,91,35,91,35,91,35,0,0
"Warren Street",0,,8486,,"Warren Street",0,,4600,,"Rotherhithe",1644,1288,1644,1288,1644,1288,1834,1265,1644,1288,1644,1288,0,0
"Warwick Avenue",0,,2855,,"Warwick Avenue",0,,1438,,"Royal Oak",1530,513,1530,513,1530,513,1658,423,1530,513,1530,513,0,0
"Waterloo",0,"X",58958,,"Waterloo",0,"X",34785,,"Ruislip",1182,501,1182,501,1182,501,1179,508,1182,501,1182,501,0,0
"Waterloo",0,"W",2283,,"Waterloo","na","WN",0,,"Ruislip Gardens",376,168,376,168,376,168,444,158,376,168,376,168,0,0
"Watford",0,,187,,"Watford",0,,320,,"Ruislip Manor",980,459,980,459,980,459,1071,494,980,459,980,459,0,0
"Wembley Park",0,,8047,,"Wembley Park",0,,6098,,"Russell Square",16860,12131,16860,12131,16860,12131,16358,11418,16860,12131,16860,12131,0,0
"West Acton",0,,881,,"West Acton",0,,651,,"Seven Sisters",12326,9995,12326,9995,12326,9995,13549,9735,12326,9995,12326,9995,0,0
"West Finchley",0,,663,,"West Finchley",0,,350,,"Shadwell",1627,1164,1627,1164,1627,1164,1734,1193,1627,1164,1627,1164,0,0
"West Ham",0,,1778,,"West Ham",0,,1209,,"Shepherd's Bush (Cen)",11326,6733,11326,6733,11326,6733,11167,6544,11326,6733,11326,6733,0,0
"West Hampstead",0,,6489,,"West Hampstead",0,,4271,,"Shepherd's Bush (H&C)",5304,1528,5304,1528,5304,1528,5430,1930,5304,1528,5304,1528,0,0
